gridimage_id;user_id;wgs84_lat;wgs84_long;imageclass;comment;tags
116672;2798;51.655438;-0.396803;Street scene;A contrast in building styles at the entrance to Charter Place from the High Street. Charter Place houses Watford Market, and the Royal Charter to hold a market here dates from 1100. Watford Market's website can be found here http://www.watfordmarket.co.uk/wm_index2.html ;None
579865;2282;54.605729;-7.30327;Offices;This picture was completed by stitching three images together;None
2473083;22742;53.44392;-2.06771;None;Looking from near the chapel towards the main entrance.;top:Burial ground, Crematorium?Cemetery?place:Hyde
656641;17441;52.953889;-1.15049;City scene;Ever since first seeing the Old Market Square in Nottingham (to me it will always be Slab Square) I have been intrigued by this fantastic mix of buildings which make up its North side. Here seen reflected in one of the new water features in the square.;None
765323;7185;57.143792;-2.073353;Building;These 'temporary' looking buildings stand side by side next to the solid three storey terraces. I wonder what they were used for in this former fishing village?;None
1013776;9181;53.004427;-1.068727;Information board;From the information board in Bottom Dumble. This shows the extensive network of footpaths in the area.;None
1294069;9148;53.689032;-2.625808;Tunnel;This tunnel was built for the River Lostock to pass under the embankment for the southern section of the Lancaster Canal.  It even has a towpath. The canal was finally abandoned when the M61 motorway was built - it cut across the canal about 100m from here. The river also passes through a culvert in the M61 embankment (immediately upstream of this tunnel).;None
285764;1621;52.536257;-1.277549;Milepost;Standing prominently on the pavement close to the junction between Leicester Road (B4669) and Grace Road, to the east of the village centre, this milepost is need of some TLC. The post indicates distances to Leicester and Hinckley, although this is not the direct route between the two.;None
1559465;20991;52.652091;-3.321484;Railway locomotive sheds;Engines The Countess and no 14 outside;None
1609260;22976;50.33247;-4.211819;Kissing gate;A view across Plymouth Sound in the distance.;None
1274532;5089;50.427889;-3.913261;Tree (detail);Proabbly Salix atrocinerea, growing by the stream shown in [[1274426]].;None
2470;112;51.500271;-0.8993;Countryside feature;On a short inlet of the Thames.  Shiplake College is an independent school.;None
1895724;307;54.316725;-0.837809;Forest;Probably a carelessly discarded cigarette caused this fire.  Whilst we sat and watched from the top of the Rosedale Chimney road over two miles away, the brown smoke turned white to steam as the fire was just about doused.  Presumably, the firemen ran out of water for a while as the thick smoke built up once again.  This happened several times over a period of about an hour until the fire was finally put out. On the regional news that evening, it was said that the nearby campsite had had to be evacuated of its 250 occupants whilst the fire was extinguished..... all of this probably due to one cigarette!;None
2085075;39198;54.670629;-2.075479;Peat banks;Carrs Hill has virtually no separate identity being just a named location along the watershed between Great Eggleshope and Hudeshope, both tributary valleys of the River Tees.  The view here is over some minor peat banks to Harnisha Hill on the far side of Great Eggleshope.;None
987352;4820;54.404356;-1.737005;Shop;Carpet emporium based in a former Ford garage on Queen's Road.;None
176368;2182;52.313938;0.064046;Village sign;erected adjacent to Church Street and Green Street in 1988 by the WI.;None
138070;4828;60.259324;-1.288062;Craft centre;Across the road from the Weisdale Mill, this trout hatchery set up in the 1990s now is partly used as an Arts & Crafts workshop, part of Bonhoga Art Gallery based in the former Weisdale Mill.;None
1917843;37492;54.350812;-2.870758;B road (Classified B);Looking approx. NW from the entrance of the Wild Boar Inn carpark. http://www.elh.co.uk/hotels/wildboar/index.aspx;None
1122881;11775;51.526941;-1.681676;Motorway;On the M4 entering the Borough of Swindon;None
913771;21474;53.514666;-1.41077;Industrial heritage;It was here that the preserved gates used to be located!  [[913766]];None
1451770;30470;50.861423;-1.746043;Lawn;Lawn is the New Forest term for flat, open grazing land, ideal for the growth of a New Forest speciality, chamomile, whose white flowers can just be made out here.;None
2961076;78374;50.996315;-0.303193;None;Entrance to Belmoredean Dressage from Maplehurst Road.;top:Farm, Fishery, Market Gardening?top:Roads, Road transport?top:Village, Rural settlement
741019;13903;51.821356;-2.488743;Footpath;The Severn can be seen in the distance, snaking its way down to Bristol. A seat on Littledean Hill Road provides the walker with a wide view over the Vale of Gloucester. Reddings Lane cuts through the picture, behind the hedge, heading downhill towards Littledean.;None
1512196;196;56.710167;-2.454563;Signpost;Colourfully painted. On NCN route 1.;None
1019270;8569;52.013495;-2.333327;Lane;Looking west, away from Camer's Green.;None
1293392;26285;51.151025;1.145777;Countryside;Taken from the footpath between Winterdown and Ladwood Farms looking northwest. The house visible in the far distance is called Golden Hill Shaw.;None
136455;1369;53.47567;-1.451539;Postbox;Postbox at the intersection of the B6068 Kirkby Lane to Rotherham, with the A6135 at Hood Hill.;None
561009;3462;52.59878;-3.391932;Garages;Signs that this is a working village.;None
2034428;2282;54.157781;-7.225856;Country road;Heading north-east to Coolnalong;None
2601941;7420;51.556035;-1.783305;Public house (closed);Two more of Swindon's pubs face an uncertain future having both recently closed their doors for the last time. NOTE. This image has a detailed ‘shared description’ which you won’t see by viewing this image on a slideshow. To read it click on the image.;top:City, Town centre?top:Derelict, Disused
411089;13527;51.110943;1.063176;Church;The medieval St Mary & Radegund church at Postling undergoing repairs to the steeple.;None
295736;6470;53.670228;-0.147243;Ponds;Not a sign of a tree on the map, yet this small pond off Cherry Cobb Sands Road is completely hidden by them.;None
2094692;30816;54.058991;-0.880001;Country house;The hall was built 1612 to 1619 using some of the stone from Kirkham Abbey.  The front is magnificent- as you can see the back with its extension leaves a poor impression.  It is on the market as now, offers over £5 million. This view is from the opposite bank of the River Derwent.;None
1199248;125;52.146619;-2.592112;Postbox;Edward VII lamp postbox near the church. [[1199231]];None
478972;14700;51.752127;-1.254342;City scene;Looking north up Oriel Street.;None
2076561;7420;51.534973;-1.901194;Public house (destroyed);A year on from this one [[1492566]] and not much has changed. The site is still derelict and parts of the old building are still standing. The graffiti has faded somewhat and some demolition has taken place (unless the chimneys collapsed by themselves).;None
375324;7257;55.315092;-4.546899;Track;The start of the hill path from Straiton, before crossing Sclenteuch Moor. For springtime views, see [[3885351]] & [[3885360]];None
1806673;4820;56.76486;-6.017175;Bay;Also known as Swordle Bay, the Gaelic name means 'Port of the big island', although the one in the photo is hardly more than a rocky low tide islet.;None
1939440;636;52.303305;0.393469;Nature Reserve;This wooded area is a nature reserve, managed by the Cambridgeshire Wildlife Trust. This low-lying area of reeds is adjacent to the River Snail, which flows through the wood.;None
519984;1578;51.141615;-3.782656;Lane;Looking north near Cornham Bungalow. The buildings beyond the trees are indicated on the Ordnance Survey map as the home of the Exmoor Foxhounds;None
556075;7056;53.092534;-3.799537;Lych gate;The ancient lych gate is sited in the western wall of the cemetery.;None
2419839;14700;50.955613;-1.210919;None;The town's war memorial stands just inside the churchyard of [[2419821]] from the top of St. Peter's Street (see [[2419790]]). The word BLESSED, at the bottom of the picture, is incorporated into the ironwork of the gate and the full sentence reads BLESSED ARE THE DEAD (and on the other gate:) WHO DIE IN THE LORD.;top:Religious sites?war memorial
2141857;2639;52.229611;1.476086;Footpath;Off Rendham Road Kelsale Footpath No.No.38;A road (classified A)?A12?A12 Saxmundham Bypass?bypass?footpath?at:Kelsale?Kelsale?Kelsale Footpath No.No.38?Rendham Road?off:Rendham Road?Saxmundham Bypass?to:the A12 Saxmundham Bypass
36134;120;52.296589;-1.529265;Street scene;Following a particularly heavy snowfall in December 1990. Compare with [[40666]] taken from the same spot on a somewhat warmer day, about 15 years later;None
475785;5089;50.777306;-2.886392;View;From the same spot as [[472465]] and with an overlap on the right. Again, this is a view down the eastern slopes of the hill from the edge of the hillfort, with the north side of Marshwood Vale beyond. On the left is Holdscroft Farm, in [[SY3798]]. In the distance are Pilsdon Pen [[35977]] above Sliding Hill, and the rounded Lewesdon Hill (see [[94106]]).;None
2322827;10354;50.949337;0.598313;Fire station;A substantial fire station building on Northiam Road.;top:Health and social services?subject:fire station
1141200;23895;53.170625;-0.947996;Church;Church of St. Bartholomew, Kneesall under repair as seen in the morning sun.;None
1695713;35887;54.444859;-6.280907;Signs;At the junction with the Dromore Road (Lurgan).Townland of Edenballycoggill.;None
394555;1833;51.02594;0.794278;Footpath;The walker has a choice here, either follow the lane or take a short cut through the hawthorn via Bridge Farm.;None
2504879;29497;51.185714;-3.236608;None;A look inland at the courthouse. The Court House in East Quantoxhead, Somerset, England has a medieval tower and other parts of the building which date from the 17th century. It has been designated as a grade I listed building. It has been owned by the Luttrell family for many generations;top:Historic sites and artefacts?top:Lowlands
1831481;41405;53.865754;-1.999203;Field;Difficult to believe that Keighley is only 5 kilometres away.;None
2803128;24634;53.708817;-1.235959;None;Canal side industry;top:Canals?top:Industry?top:Roads, Road transport
1160624;3141;54.37078;-2.951993;Plantation;Sheltering from the heavy wet snowfall in the trees on Claife Heights;None
1468505;2282;52.050087;-1.781218;Historic building;It is located along High Street;None
2427743;60493;53.625597;-2.144205;None;11 Davyhulme Street, a red-brick terraced house typical of both Rochdale and of Greater Manchester.;top:Housing, Dwellings
2750616;12192;51.114568;-0.190153;None;This Grade II* listed building is in the High Street.It is a timber-framed hall-house of circa 1450 with L-wing added circa 1530 and modern brick wing later. It was restored in 1927. It is currently used as an Italian restaurant and an estate agent's business (though they prefer the label, property consultancy). It may have been the Pre-Reformation Priest's house. Information is from http://www.imagesofengland.org.uk/Details/Default.aspx?id=363347&mode=quick[[[2750861]]];top:Business, Retail, Services?top:City, Town centre?estate agent?restaurant?timber framed building
1827463;2282;54.541756;-7.213509;Country road;Looking north-east;None
2680525;46229;53.37817;-0.574128;None;The Cliff is the name often given to the Lincoln Edge.;top:Lowlands
2057466;196;55.608322;-3.19812;Moorland;The track bypasses the summit on the eastern side.;None
